"especie","count"
"Andigena_hypoglauca",52
"Anolis_heterodermus",7
"Anolis_huilae",6
"Anthocephala_berlepschi",44
"Baetodes",23
"Basiliscus_basiliscus",3
"Bryconamericus_tolimae",19
"Cuniculus_taczanowskii",3
"Dasyprocta_punctata",4
"Eriocnemis_derbyi",28
"Gonatodes_albogularis",3
"Helicopsyche",1
"Heterelmis",32
"Hyloscirtus_larinopygion",4
"Hypostomus_hondae",8
"Kronoheros_umbriferus",4
"Macrelmis",21
"Mazama_rufina",3
"Microgenys_minuta",9
"Nasua_nasua",3
"Nasuella_olivacea",5
"Osornophryne percrassa",12
"Pholidobolus_vertebralis",3
"Phylloicus",14
"Pristimantis racemus",9
"Pristimantis_supernatis",7
"Pristimantis_w-nigrum",12
"Setophaga_striata",12
"Smicridea",28
"Sturnella_magna",14
"Trichomycterus_transandianus",8
